Player Name, Player Position, Player Country
Rolando Aarons,Forward,England
Tammy Abraham,Forward,England
Charlie Adam,Midfielder,Scotland
Adam Smith,Defender,England
Adrián,Goalkeeper,Spain
Adrien Silva,Midfielder,Portugal
Ibrahim Afellay,Midfielder,Netherlands
Benik Afobe,Forward,The Democratic Republic Of Congo
Sergio Agüero,Forward,Argentina
Daniel Agyei,Forward,England
Soufyan Ahannach,Forward,Netherlands
Ahmed Hegazi,Defender,Egypt
Nathan Aké,Defender,Netherlands
Chuba Akpom,Forward,England
Marc Albrighton,Midfielder,England
Toby Alderweireld,Defender,Belgium
Aleix García,Midfielder,Spain
Trent Alexander-Arnold,Defender,England
Ali Gabr,Defender,Egypt
Allan Nyom,Defender,Cameroon
Allan Souza,Midfielder,Brazil
Joe Allen,Midfielder,Wales
Ryan Allsop,Goalkeeper,England
Marcos Alonso,Defender,Spain
Paulo Alves,Midfielder,Portugal
Daniel Amartey,Midfielder,Ghana
Jordi Amat,Defender,Spain
Luke Amos,Midfielder,England
Ethan Ampadu,Defender,Wales
Nordin Amrabat,Forward,Morocco
